benchmark,result,holes,solve
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_03708_145660__29264090_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_01034_038710__19619148_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_00859_031351__19435460_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_04094_166512__31181076_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_02807_108662__25766926_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_02736_105357__25367958_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_02472_094143__22730808_1.p.stdout,unsat,,1927
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_01655_063239__20260358_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_03425_133868__28555354_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_00472_017281__19056092_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_03133_123002__27676304_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_03468_135866__28767446_1.p.stdout,unsat,,14864
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_01963_073525__20473524_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_04030_163181__30984838_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_00550_020215__19152356_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_01601_060904__20165004_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_03865_153964__29892284_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_03079_119901__27181236_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_04390_181105__33786276_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_01511_057182__20060870_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_02877_110682__26078640_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_01121_041589__19719372_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_02204_082726__20992714_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_03533_138692__28857338_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_02260_085375__21417294_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_02683_102654__24808292_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_03795_149857__29462594_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_02553_097154__23692328_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_01449_054396__19951394_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_01755_066182__20349896_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_03316_130373__28395072_1.p.stdout,unsat,,2392
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_04343_178572__33090026_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_04224_173493__32069702_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_00315_012049__18876200_1.p.stdout,unsat,,37072
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_00962_035910__19527102_1.p.stdout,unsat,,49538
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_00654_023415__19250732_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_00233_008956__18773480_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_02033_076172__20603624_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_02955_113784__26863928_1.p.stdout,unsat,,1806
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_01300_048777__19878668_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0000_MonoidalCategory/prob_03257_127643__28016282_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00136_004751__7490458_1.p.stdout,unsat,,2724
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00776_025065__14738702_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00477_015287__10928674_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00532_016676__11724616_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00201_006421__8197892_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00709_023017__13690472_1.p.stdout,unsat,,2883
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00488_015689__11131924_1.p.stdout,unsat,,2843
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00892_028987__16103188_1.p.stdout,unsat,,28798
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00753_024397__14260142_1.p.stdout,unsat,,2406
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00790_025444__14983984_1.p.stdout,unsat,,1821
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00615_019902__12899226_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00566_017904__12060252_1.p.stdout,unsat,,2944
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00189_006138__8049822_1.p.stdout,unsat,,27723
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00362_011190__9463006_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00383_012005__9931810_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00650_021221__13101736_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00783_025279__14870550_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00103_003790__7034606_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00088_003163__6669286_1.p.stdout,unsat,,2170
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00468_015012__10800676_1.p.stdout,unsat,,3464
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00377_011748__9849418_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00093_003383__6817530_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00702_022783__13574950_1.p.stdout,unsat,,1934
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00406_012944__10339142_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00598_019214__12518880_1.p.stdout,unsat,,1871
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00849_027258__15812208_1.p.stdout,unsat,,33778
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00393_012424__10012790_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00763_024749__14478838_1.p.stdout,unsat,,1813
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00219_006934__8513096_1.p.stdout,unsat,,2739
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00844_027047__15711752_1.p.stdout,unsat,,1808
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00896_029138__16206086_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00601_019375__12648694_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00692_022506__13467096_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00498_015945__11249456_1.p.stdout,unsat,,50848
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00292_009254__9195008_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00242_007572__8778956_1.p.stdout,unsat,,3261
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00461_014723__10668702_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00366_011340__9687174_1.p.stdout,unsat,,1796
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00441_014288__10459664_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00569_018120__12198524_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00097_003589__6937208_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00888_028770__16003448_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00714_023161__13814716_1.p.stdout,unsat,,2143
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00582_018576__12409480_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00577_018368__12307646_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00237_007433__8675518_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00829_026705__15627576_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00770_024917__14610452_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00904_029448__16301748_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00667_021755__13213846_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00117_004049__7150208_1.p.stdout,unsat,,1785
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00757_024590__14386136_1.p.stdout,unsat,,1880
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00328_010190__9297244_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00508_016193__11349526_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00797_025660__15086746_1.p.stdout,unsat,,1860
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00371_011567__9764752_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00643_020979__13002286_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00269_008395__8956978_1.p.stdout,unsat,,2148
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00178_005869__7966724_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00401_012798__10256850_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00516_016371__11461194_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00724_023398__13926540_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00210_006662__8357730_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00339_010430__9380038_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00524_016523__11564890_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00816_026259__15351860_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00681_022168__13353770_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00275_008544__9029716_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00126_004302__7238598_1.p.stdout,unsat,,3070
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00129_004500__7389060_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00802_025826__15210556_1.p.stdout,unsat,,2043
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00557_017472__11926792_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00735_023825__14157770_1.p.stdout,unsat,,1815
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00170_005602__7883202_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00265_008265__8886594_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00820_026379__15445184_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00149_005052__7644140_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00826_026612__15539048_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00453_014515__10566890_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00289_009084__9097582_1.p.stdout,unsat,,1781
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Cauchy/0001_CauchysMeanTheorem/prob_00608_019691__12795196_1.p.stdout,,,
